complaint_id,product,sub_product,issue,category,date_received,narrative_snippet,metric
20270555,Debt collection,I do not know,Took or threatened to take negative or legal action,LEVEL_1_AWARE,2026-03-14T12:00:00-05:00,,healthcare
20260203,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-14T12:00:00-05:00,,healthcare
20260128,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-14T12:00:00-05:00,,healthcare
20260042,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-14T12:00:00-05:00,,healthcare
20260039,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-14T12:00:00-05:00,,healthcare
20259663,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-14T12:00:00-05:00,,healthcare
20256617,Debt collection,Telecommunications debt,Written notification about debt,LEVEL_1_AWARE,2026-03-13T12:00:00-05:00,,healthcare
20255291,Debt collection,Other debt,Communication tactics,LEVEL_1_AWARE,2026-03-13T12:00:00-05:00,,healthcare
20254369,Debt collection,Federal student loan debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-13T12:00:00-05:00,,healthcare
20254295,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-13T12:00:00-05:00,,healthcare
20253802,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-13T12:00:00-05:00,,healthcare
20252027,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-13T12:00:00-05:00,,healthcare
20251844,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-13T12:00:00-05:00,,healthcare
20251756,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-13T12:00:00-05:00,,healthcare
20251505,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-03-13T12:00:00-05:00,,healthcare
20251294,Debt collection,I do not know,Took or threatened to take negative or legal action,LEVEL_1_AWARE,2026-03-13T12:00:00-05:00,,healthcare
