search_term,video_id,url,title,description_snippet,published_date,view_count,crisis_keywords,category
laid off tech 2025,1o3xF724XFY,https://www.youtube.com/watch?v=1o3xF724XFY,Amazon AI Layoffs: What to know as companies cut back | Layoffs 2025,Seattle-based tech giant Amazon is making its largest round of corporate layoffs in years — cutting roughly 14000 jobs — and ...,2025-10-31,42608,,LEVEL_1_AWARE
laid off tech 2025,VeMA9WGKxOg,https://www.youtube.com/watch?v=VeMA9WGKxOg,"Laid Off After 25 Years in Tech: The Anxiety, Sacrifice, and Reality No One Talks About",layoffs2025 #softwareengineer #bigtech #developerlife What happens when a 25-year career in Big Tech suddenly ends? In this ...,2025-12-19,763400,anxiety,LEVEL_1_AWARE
laid off tech 2025,v-0gG_NDDX0,https://www.youtube.com/watch?v=v-0gG_NDDX0,Why Mass Holiday Layoffs Are Getting WORSE in 2025,2nd Channel @ZacV2 My TikTok https://www.tiktok.com/@zacrios?_t=ZT-90LyuVCSxLr&_r=1 Chapters 0:00 Subscribe!,2025-12-18,369171,,LEVEL_1_AWARE
laid off tech 2025,XerzK0QNhnM,https://www.youtube.com/watch?v=XerzK0QNhnM,Why are Tech Layoffs Still Happening?,"tech #techjobs #jobmarket Tech layoffs in 2025 continue to surge, with U.S. companies like Amazon, Meta, Microsoft, Salesforce, ...",2025-11-03,46229,,LEVEL_1_AWARE
laid off tech 2025,MCIEitSAFGo,https://www.youtube.com/watch?v=MCIEitSAFGo,"112,000 Tech Workers JUST GOT Laid Off as Tech Jobs COLLAPSE",[Private Discord Server]: https://www.patreon.com/marketgains1 - 7 day free trial - 80% average win rate with our traders - Track ...,2025-11-22,28852,,LEVEL_1_AWARE
laid off tech 2025,R7vd-pPJZbc,https://www.youtube.com/watch?v=R7vd-pPJZbc,Companies cut thousands of jobs amid corporate AI push,"Amid layoffs continuing to happen across multiple companies, some are wondering about the role that artificial intelligence plays.",2025-10-31,60147,,LEVEL_1_AWARE
laid off tech 2025,Wn55VWVtaAs,https://www.youtube.com/watch?v=Wn55VWVtaAs,&quot;Why Mass Layoffs Are Crushing Thousands in 2025 – Shocking Truth!&quot;,People are losing their jobs in 2025 due to AI and Chip manufacturing. What do you think? Homeowners are Regretting their ...,2025-11-04,106601,,LEVEL_1_AWARE
laid off tech 2025,IeU8tdZ2NMU,https://www.youtube.com/watch?v=IeU8tdZ2NMU,40% of Amazon Layoffs are Engineers - Tech Employees Suck at Innovation,Support Content at - https://donorbox.org/etcg LinkedIn at - https://www.linkedin.com/in/eli-etherton-a15362211/,2025-11-23,19180,,LEVEL_1_AWARE
laid off tech 2025,doAYGVG7xxA,https://www.youtube.com/watch?v=doAYGVG7xxA,"Laid Off After 25 Years in Tech: The Anxiety, Sacrifice, and Reality No One Talks About",2025 has been one of the worst years for layoffs going all the way back to 2008 with over 14 million jobs lost this year.,2025-12-28,99332,anxiety,LEVEL_1_AWARE
job search nightmare,7zbAzVAS36o,https://www.youtube.com/watch?v=7zbAzVAS36o,I was about to graduate and job hunting was a nightmare. Then I stumbled into an audition for a ,I was about to graduate and job hunting was a nightmare. Then I stumbled into an audition for a reality show looking for regular ...,2025-11-04,1034,,LEVEL_1_AWARE
