search_term,video_id,url,title,description_snippet,published_date,view_count,crisis_keywords,category,notes
can't afford rent on salary,ljnoajvQxXQ,https://www.youtube.com/watch?v=ljnoajvQxXQ,"Liberal man wearing a bonnet says he can&#39;t afford to live with the high cost of rent, social issues","Tiege Hanley: Get your first box 40% off (+ FREE gift), and 20% off for life, at https://tiege.com/antondaniels Join the Bag Chasers ...",2025-09-22,496756,,LEVEL_1_AWARE,
can't afford rent on salary,072bbMcq2PQ,https://www.youtube.com/watch?v=072bbMcq2PQ,Ranking the best &quot;I can&#39;t pay rent this month&quot; pranks! #coupleprankcompalation #fypシ゚viral #ranked,,2025-10-25,1083,,LEVEL_1_AWARE,
can't afford rent on salary,Ju3hheTpoBs,https://www.youtube.com/watch?v=Ju3hheTpoBs,“We Can’t Afford Rent” The Real Impact of Section 8 Funding Cuts,"Section 8 is supposed to protect families from losing their homes — but now, funding cuts are putting thousands at risk of eviction.",2025-11-06,9643,,LEVEL_1_AWARE,
can't afford rent on salary,rRJuexovapQ,https://www.youtube.com/watch?v=rRJuexovapQ,Why Million of Londoners Can&#39;t Afford Rent by 2027,Something terrifying is happening to London's rental market — and almost nobody is talking about it. Landlords are leaving ...,2025-10-27,978,,LEVEL_1_AWARE,
can't afford rent on salary,tDZCBav96Wo,https://www.youtube.com/watch?v=tDZCBav96Wo,Employed and Broke: Young People Can&#39;t Afford The Cost Of Living!,"The cost of living is getting more expensive everyday and so many people are unable to afford basic necessities like rent, ...",2025-10-01,2374,,LEVEL_1_AWARE,
can't afford rent on salary,bqdPtjxzQaE,https://www.youtube.com/watch?v=bqdPtjxzQaE,Why Nobody Can Afford a Home Anymore,"Ever wondered why buying a home today feels impossible, even if you earn a decent salary? Why your parents bought houses ...",2025-10-26,396861,,LEVEL_1_AWARE,
can't afford rent on salary,D9_ZdiY-DuI,https://www.youtube.com/watch?v=D9_ZdiY-DuI,Americans Can’t Afford the Cost of Living Anymore,"Americans are working harder than ever, but the cost of living is out of control. From skyrocketing rent and groceries to crushing ...",2025-09-26,8144,,LEVEL_1_AWARE,
can't afford rent on salary,5j7f9r7Zvng,https://www.youtube.com/watch?v=5j7f9r7Zvng,If You Work Full-Time and Still Can’t Pay Rent — What’s the Point?,Millions of people work full-time but can't afford a home. Rent keeps rising while salaries stay frozen. Is this failure of effort — or ...,2025-10-20,13095,can't afford,LEVEL_1_AWARE,
can't afford rent on salary,FSrO9IG6ug4,https://www.youtube.com/watch?v=FSrO9IG6ug4,Major Vegas Casino CAN&#39;T PAY RENT?!,"Learn To Trade — 90% OFF Base hits, small wins, no ""getting rich quick..."" http://1kaday.diy — Use coupon code 18 for 90% off ...",2025-11-06,56495,,LEVEL_1_AWARE,
can't afford rent on salary,ir7dvH-vH8U,https://www.youtube.com/watch?v=ir7dvH-vH8U,Telling my husband “I can’t pay the mortgage this month ”🤣🤪😜🥰#husbandwife #funny #couple #prank,,2025-10-07,5036056,,LEVEL_1_AWARE,
