complaint_id,product,sub_product,issue,category,date_received,narrative_snippet,metric
21592716,Debt collection,Other debt,Written notification about debt,LEVEL_1_AWARE,2026-04-25T12:00:00-05:00,,healthcare
21592384,Debt collection,Credit card debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-25T12:00:00-05:00,,healthcare
21591952,Debt collection,Other debt,Written notification about debt,LEVEL_1_AWARE,2026-04-25T12:00:00-05:00,,healthcare
21590453,Debt collection,Other debt,Written notification about debt,LEVEL_1_AWARE,2026-04-25T12:00:00-05:00,,healthcare
21589426,Debt collection,I do not know,False statements or representation,LEVEL_1_AWARE,2026-04-25T12:00:00-05:00,,healthcare
21589111,Debt collection,Other debt,Written notification about debt,LEVEL_1_AWARE,2026-04-25T12:00:00-05:00,,healthcare
21588565,Debt collection,Other debt,Written notification about debt,LEVEL_1_AWARE,2026-04-25T12:00:00-05:00,,healthcare
21587537,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21587473,Debt collection,I do not know,Took or threatened to take negative or legal action,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21586080,Debt collection,Telecommunications debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21585959,Debt collection,I do not know,Took or threatened to take negative or legal action,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21582058,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21581883,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21581873,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21579163,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21578378,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21577998,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21576855,Debt collection,Telecommunications debt,False statements or representation,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21576683,Debt collection,Other debt,Written notification about debt,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21576497,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21576193,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21576068,Debt collection,Telecommunications debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21575551,Debt collection,Other debt,Written notification about debt,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21575476,Debt collection,Other debt,False statements or representation,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21575385,Debt collection,I do not know,Took or threatened to take negative or legal action,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21575168,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21574236,Debt collection,Other debt,Written notification about debt,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21574119,Debt collection,Other debt,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21573946,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21573862,Debt collection,I do not know,Took or threatened to take negative or legal action,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21573824,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21573699,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21573663,Debt collection,Other debt,False statements or representation,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21573645,Debt collection,Other debt,Written notification about debt,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
21573366,Debt collection,I do not know,Attempts to collect debt not owed,LEVEL_1_AWARE,2026-04-24T12:00:00-05:00,,healthcare
