search_term,video_id,url,title,description_snippet,published_date,view_count,crisis_keywords,category
laid off tech 2025,CakE9HmhzS0,https://www.youtube.com/watch?v=CakE9HmhzS0,18 months after I got laid off in tech (4 Harsh Lessons I learned in 2025),Discover how to make $8000 a month in tech: https://letphil.com/ Let Phil's FREE Community Discord Channel: ...,2026-01-01,22035,,LEVEL_1_AWARE
laid off tech 2025,v-0gG_NDDX0,https://www.youtube.com/watch?v=v-0gG_NDDX0,Why Mass Holiday Layoffs Are Getting WORSE in 2025,2nd Channel @ZacV2 Compilation Channel @TheZacRiosShow My TikTok https://www.tiktok.com/@zacrios?,2025-12-18,394459,,LEVEL_1_AWARE
laid off tech 2025,uyCcgG4nm90,https://www.youtube.com/watch?v=uyCcgG4nm90,Tech Layoffs Are NOT About AI: An Insider View from a Former Amazon Manager,"Tech layoffs aren't really about AI. From the inside, the warning signs were there long before ChatGPT. I spent seven years at ...",2026-02-20,449507,,LEVEL_1_AWARE
laid off tech 2025,doAYGVG7xxA,https://www.youtube.com/watch?v=doAYGVG7xxA,"Laid Off After 25 Years in Tech: The Anxiety, Sacrifice, and Reality No One Talks About",2025 has been one of the worst years for layoffs going all the way back to 2008 with over 14 million jobs lost this year.,2025-12-28,119986,anxiety,LEVEL_1_AWARE
laid off tech 2025,O8f21DH5FdU,https://www.youtube.com/watch?v=O8f21DH5FdU,Layoffs In 2026 Will Be FAR WORSE Than 2025 | Here&#39;s Why,Layoffs In 2026 Will Be FAR WORSE Than 2025 | Here's Why Popular Video Content: US News: - http://bit.ly/USworldnews ...,2025-12-20,22032,,LEVEL_1_AWARE
laid off tech 2025,VeMA9WGKxOg,https://www.youtube.com/watch?v=VeMA9WGKxOg,"Laid Off After 25 Years in Tech: The Anxiety, Sacrifice, and Reality No One Talks About",layoffs2025 #softwareengineer #bigtech #developerlife What happens when a 25-year career in Big Tech suddenly ends? In this ...,2025-12-19,999970,anxiety,LEVEL_1_AWARE
laid off tech 2025,LNJPnQFRZmQ,https://www.youtube.com/watch?v=LNJPnQFRZmQ,WTF is Wrong with the Tech Job Market in 2026 ?,"Layoffs keep making headlines. Entry-level roles are disappearing. And yet, companies are still hiring aggressively for AI, cloud, ...",2026-01-18,54970,,LEVEL_1_AWARE
laid off tech 2025,7n0IC2Yg5Ag,https://www.youtube.com/watch?v=7n0IC2Yg5Ag,The Era of High Paying Tech Jobs is Over,"High paying tech jobs used to look safe.Now a lot of smart workers are getting cut. In this video, I explain in very simple words: ...",2025-12-18,242302,,LEVEL_1_AWARE
laid off tech 2025,CapkKqIEz-U,https://www.youtube.com/watch?v=CapkKqIEz-U,What are the prospects for laid-off workers?,"In 2025, more than 1.1 million Americans were laid off from their jobs, the most since the 2020 COVID pandemic. The layoffs were ...",2025-12-14,222717,,LEVEL_1_AWARE
laid off tech 2025,pXVG5Fca0do,https://www.youtube.com/watch?v=pXVG5Fca0do,Mass Layoffs Are Getting WORSE… Job Market Collapse Hits 2026,"Mass layoffs are exploding as we enter 2026, and this is not random. In this video, we break down real layoff stories happening ...",2026-01-11,112137,,LEVEL_1_AWARE
