search_term,video_id,url,title,category
flight cancelled nightmare,SWwqapmqyNs,https://www.youtube.com/watch?v=SWwqapmqyNs,"Indigo Flight News | No Luggage, Food, Stay: IndiGo Fliers&#39; Nightmare After 500 Flights Cancelled",LEVEL_2_FRUSTRATED
flight cancelled nightmare,TEUsyIBOfSg,https://www.youtube.com/watch?v=TEUsyIBOfSg,"IndiGo Flights | No Luggage, Food, Stay: IndiGo Fliers&#39; Nightmare After 500 Flights Cancelled",LEVEL_2_FRUSTRATED
flight cancelled nightmare,aqQ3lU1xtKI,https://www.youtube.com/watch?v=aqQ3lU1xtKI,IndiGo Flight Cancellation: Nightmare Continues As Ops Still Far From Normal Even As Flyers Get This,LEVEL_1_AWARE
flight cancelled nightmare,rxXzYPDl5jc,https://www.youtube.com/watch?v=rxXzYPDl5jc,"Stranded For 10+ hours, Fliers Demand Action From Indigo Airlines For Cancelled Flights",LEVEL_3_CRISIS
flight cancelled nightmare,NO2CGTFRWF8,https://www.youtube.com/watch?v=NO2CGTFRWF8,Flight Cancelled &amp; Sleep Deprived? A Road Trip Nightmare! #shorts,LEVEL_2_FRUSTRATED
flight cancelled nightmare,IrpYHo4EtzM,https://www.youtube.com/watch?v=IrpYHo4EtzM,Travel nightmare worsens as FAA cuts prompt thousands of flight disruptions,LEVEL_2_FRUSTRATED
flight cancelled nightmare,kqKOrynmWJw,https://www.youtube.com/watch?v=kqKOrynmWJw,1000+ Flights Cancelled: Indigo to Face Probe | Vantage with Palki Sharma | N18G,LEVEL_3_CRISIS
flight cancelled nightmare,BbVFeaft4EM,https://www.youtube.com/watch?v=BbVFeaft4EM,"Carnival Vista Debarkation- 26-Hour Travel Nightmare:Cancelled Flights, Delays &amp; Stuck in Michigan. ",LEVEL_2_FRUSTRATED
flight cancelled nightmare,xQGS3dp3mxc,https://www.youtube.com/watch?v=xQGS3dp3mxc,Why Indigo Flights Are Getting Cancelled?,LEVEL_2_FRUSTRATED
flight cancelled nightmare,6yHNiYnPSd4,https://www.youtube.com/watch?v=6yHNiYnPSd4,IndiGo Airlines Meltdown | Travel Nightmare Across India,LEVEL_1_AWARE
stranded at airport,-NJwQ_I1Y_4,https://www.youtube.com/watch?v=-NJwQ_I1Y_4,"I was stranded at the airport with my newborn baby, begging for help after my flight got...",LEVEL_3_CRISIS
stranded at airport,u4tVCxXeRoU,https://www.youtube.com/watch?v=u4tVCxXeRoU,"Indigo Flight Chaos: Passengers Stranded At Airport, Airline Warns Of Disruptions Till December 15",LEVEL_3_CRISIS
stranded at airport,EajRhnfsobw,https://www.youtube.com/watch?v=EajRhnfsobw,HOUSTON AIRPORT COLLAPSED! Thousands Stranded After Government Shutdown,LEVEL_3_CRISIS
stranded at airport,iTcR70dyo7s,https://www.youtube.com/watch?v=iTcR70dyo7s,I was stranded at the airport for nine months. #shorts  #usa  #film  #chl51215xfzdz,LEVEL_3_CRISIS
stranded at airport,gbCkwPoxw1s,https://www.youtube.com/watch?v=gbCkwPoxw1s,"Chaos At Mumbai Airport: Passengers Stranded For Hours, No Help From IndiGo",LEVEL_3_CRISIS
stranded at airport,01hiXz2td_0,https://www.youtube.com/watch?v=01hiXz2td_0,Delhi AQI | Delhi Chokes Under Smog: Thousands Of Passengers Stranded At Airport,LEVEL_3_CRISIS
stranded at airport,PtJMGyrD3HQ,https://www.youtube.com/watch?v=PtJMGyrD3HQ,IndiGo cancellations leave thousands stranded at airports across India,LEVEL_3_CRISIS
stranded at airport,0x2eKLCfaxw,https://www.youtube.com/watch?v=0x2eKLCfaxw,&#39;It&#39;s horrible&#39;: Passengers stranded at Fort Lauderdale airport as FAA cuts air traffic,LEVEL_3_CRISIS
airline lost luggage,dUJE41gq2EI,https://www.youtube.com/watch?v=dUJE41gq2EI,The Truth About Lost Luggage (What Airlines Don’t Want You to Know),LEVEL_1_AWARE
airline lost luggage,1hUGAqWiSLA,https://www.youtube.com/watch?v=1hUGAqWiSLA,10 Airport Secrets Airlines Don’t Want You to Know About Lost Luggage,LEVEL_1_AWARE
airline lost luggage,91GGS4n1sUI,https://www.youtube.com/watch?v=91GGS4n1sUI,Where To Locate Airline Lost Luggage Help?,LEVEL_1_AWARE
airline lost luggage,ucPnF09c-FE,https://www.youtube.com/watch?v=ucPnF09c-FE,What If The Airline Doesn&#39;t Update Lost Luggage?,LEVEL_1_AWARE
airline lost luggage,7vNpq5TbcBU,https://www.youtube.com/watch?v=7vNpq5TbcBU,STOP Losing Luggage! 🛑 10 Airport Hacks Airlines HATE (Flight Attendant Secrets),LEVEL_1_AWARE
airline lost luggage,WygQ3xHiWGY,https://www.youtube.com/watch?v=WygQ3xHiWGY,✈️🧳 Lost Luggage at the Airport | English for Travel,LEVEL_1_AWARE
airline lost luggage,PyyXMZfZJrM,https://www.youtube.com/watch?v=PyyXMZfZJrM,10 Secrets Airlines Don’t Want You to Know About Lost Luggage Travel Tips &amp; Hacks-How to Travel 2026,LEVEL_1_AWARE
airline lost luggage,we19xN79uVU,https://www.youtube.com/watch?v=we19xN79uVU,10 Luggage Hacks Airlines Don’t Want You to Know | Smart Travel Tips 2026,LEVEL_1_AWARE
airline lost luggage,E3Z_7CKsoss,https://www.youtube.com/watch?v=E3Z_7CKsoss,Where Can I Monitor My Airline Lost Luggage?,LEVEL_1_AWARE
airline lost luggage,odDtR_taLdI,https://www.youtube.com/watch?v=odDtR_taLdI,How Do I Speak To Airline Lost Luggage Department?,LEVEL_1_AWARE
flight delay horror story,-BCsQBxvd60,https://www.youtube.com/watch?v=-BCsQBxvd60,3 Very Disturbing TRUE Airplane Horror Stories | Mr. Night Scares,LEVEL_1_AWARE
flight delay horror story,HRl3yiRzHNo,https://www.youtube.com/watch?v=HRl3yiRzHNo,10 True Airport Horror Stories,LEVEL_1_AWARE
flight delay horror story,Jzf5CsnB6Ls,https://www.youtube.com/watch?v=Jzf5CsnB6Ls,The SHOCKING Truth About Flight Delay Nightmares Nobody Warns You About,LEVEL_1_AWARE
flight delay horror story,Yp_4oq2DS6c,https://www.youtube.com/watch?v=Yp_4oq2DS6c,5 Terrifying True Airport Horror Stories You Won’t Believe Happened I True Horror Stories Airports,LEVEL_1_AWARE
flight delay horror story,EYLkxYBQjeY,https://www.youtube.com/watch?v=EYLkxYBQjeY,3 Disturbing TRUE Airplane Horror Stories (Volume  112),LEVEL_1_AWARE
flight delay horror story,Z4-mV8oAPdY,https://www.youtube.com/watch?v=Z4-mV8oAPdY,The Night Shift Rules at Greyfield Airport ✈️ (Don’t Break Them),LEVEL_1_AWARE
flight delay horror story,gzBWU8ICkOA,https://www.youtube.com/watch?v=gzBWU8ICkOA,“Black Soldier Ignored At The Airport—Then The Flight Got Delayed For Him”,LEVEL_2_FRUSTRATED
flight delay horror story,X-ElLs6Xo-c,https://www.youtube.com/watch?v=X-ElLs6Xo-c,"Flight Delays, Fees &amp; Fights: Is Flying Getting Worse?",LEVEL_1_AWARE
flight delay horror story,KD7JHpKhc0c,https://www.youtube.com/watch?v=KD7JHpKhc0c,"US Airport Delays: Grounded Flights, Staffing Shortages, and Travel Horror Stories",LEVEL_2_FRUSTRATED
flight delay horror story,A9ouhoA5Uhw,https://www.youtube.com/watch?v=A9ouhoA5Uhw,Reduced flights horror story at DFW International Airport,LEVEL_2_FRUSTRATED
flight delay horror story,ZRVNZUfs1Ok,https://www.youtube.com/watch?v=ZRVNZUfs1Ok,HOA President Delays Flight 45 Minutes Over ‘Cracked Window’!,LEVEL_1_AWARE
flight delay horror story,spcqI66thuk,https://www.youtube.com/watch?v=spcqI66thuk,Never Fly Again In 2026 Without Watching This!  #smarttravel  #travelhacks  #FlightMistakes,LEVEL_1_AWARE
