search_term,video_id,url,title,description_snippet,published_date,view_count,crisis_keywords,category,notes
can't afford rent on salary,d0Fpeb1O7z8,https://www.youtube.com/watch?v=d0Fpeb1O7z8,Can&#39;t Afford Rent? Here&#39;s Why Landlords Use the 3X Rule,"RentVsBuy #Homeownership #FamilyFinance This video examines the challenges of meeting landlord requirements, specifically ...",2026-03-11,2913,,LEVEL_1_AWARE,
can't afford rent on salary,DYI4pHT2jY8,https://www.youtube.com/watch?v=DYI4pHT2jY8,"Angel Reese Can&#39;t Afford Her Rent on a $74,000 WNBA Salary",She's one of the biggest stars in women's basketball — and she can barely afford her rent. Angel Reese just revealed that her ...,2026-05-04,2785,,LEVEL_1_AWARE,
can't afford rent on salary,KodkxqKuyno,https://www.youtube.com/watch?v=KodkxqKuyno,Millions of Americans Can&#39;t Afford Rent... They Have to Live in Cars and Sheds,"Millions of Americans are working full-time and still can't afford rent. In this video, we break down the math behind rising housing ...",2026-03-01,3649,can't afford,LEVEL_1_AWARE,
can't afford rent on salary,_En1hkg61BY,https://www.youtube.com/watch?v=_En1hkg61BY,"When journalists can’t afford rent, one newsroom buys them a home","When a newsroom can't hire reporters, the problem isn't always pay — sometimes it's rent. In one coastal community, the cost of ...",2026-02-21,52,,LEVEL_1_AWARE,
can't afford rent on salary,Zvb2k3NBvsk,https://www.youtube.com/watch?v=Zvb2k3NBvsk,WNBA Players Can’t Afford Rent If Season Delays | Shocking Salary Crisis Explained,WNBA#WNBASalary#AngelReese#CaitlinClark#WNBAnews WNBA Players Can't Afford Rent If Season Delays | Shocking ...,2026-04-22,134,can't afford,LEVEL_1_AWARE,
can't afford rent on salary,JDbA9ubLUOQ,https://www.youtube.com/watch?v=JDbA9ubLUOQ,The Rent Apocalypse: 10 Cities Where Even Doctors Can’t Afford a Home,The Rent Apocalypse: 10 Cities Where Even Doctors Can't Afford a Home A doctor in America makes $374000 a year.,2026-02-18,172,can't afford,LEVEL_1_AWARE,
can't afford rent on salary,gueVjrRKZg8,https://www.youtube.com/watch?v=gueVjrRKZg8,A Philosopher Explains Why He Can’t Pay This Month’s Rent,The real question: why is the rent? #makesomenoise #dropout #improv ➡️ Go to Dropout.tv to watch new Make Some Noise ...,2026-03-14,1107247,,LEVEL_1_AWARE,
can't afford rent on salary,Q7xSzBFvh7w,https://www.youtube.com/watch?v=Q7xSzBFvh7w,I Couldn’t Pay Rent… Then My Landlord Brought His Friends – What Happened Next Shocked MeTrue Story,"What happens when you can't pay your rent and your landlord suddenly shows up with friends? In this real-life inspired story, ...",2026-03-09,310,,LEVEL_1_AWARE,
can't afford rent on salary,pe_SuYyLF9w,https://www.youtube.com/watch?v=pe_SuYyLF9w,“I’m A Single Mom And I Can’t Afford Rent.”,Tip Jar (Iced Coffee Fund ☕️): https://cash.app/$DivineXUnbound Join the Patreon: ...,2026-03-08,4448,,LEVEL_1_AWARE,
can't afford rent on salary,eSly44yD8lU,https://www.youtube.com/watch?v=eSly44yD8lU,40% of Americans Can’t Afford Rent — The Middle Class Collapse Fueling RV Homelessness (2026),40% of Americans Can't Afford Rent — The Middle Class Collapse Fueling RV Homelessness (2026) Video description: America ...,2026-02-17,5712,"homeless, can't afford",LEVEL_3_CRISIS,
paycheck to paycheck,d4uAn7OM8aE,https://www.youtube.com/watch?v=d4uAn7OM8aE,Paycheck to Paycheck Nightmare: (Why 76% Have ZERO Safety Net in America Today),Americans are living paycheck to paycheck! Will this be the future of America?! What do you think? If you are looking to buy or sell ...,2026-03-20,19990,paycheck to paycheck,LEVEL_2_STRUGGLING,
paycheck to paycheck,PLNAulkqiy4,https://www.youtube.com/watch?v=PLNAulkqiy4,IRAN LEGO ANIMATION: Paycheck to Paycheck — The American Way,They told him America is where hard work pays off. He believed them. Then he got here — and saw what nobody wanted to talk ...,2026-05-03,5370,paycheck to paycheck,LEVEL_2_STRUGGLING,
paycheck to paycheck,DuqE_jcc-04,https://www.youtube.com/watch?v=DuqE_jcc-04,The Real Reason Why Americans Are Living Paycheck To Paycheck In 2026,[Private Discord Server]: https://www.patreon.com/marketgains1 - 7 day free trial - 80% average win rate with our traders - Track ...,2026-04-01,2325,paycheck to paycheck,LEVEL_2_STRUGGLING,
paycheck to paycheck,tZFujb00Emc,https://www.youtube.com/watch?v=tZFujb00Emc,Living Paycheck to Paincheck (A Story Too Many Know Too Well),"Some songs aren't made to sound perfect — they're made to feel real. This one tells the story of long days, short pay, and the ...",2026-04-10,45318,,LEVEL_1_AWARE,
paycheck to paycheck,TDELR2fLn8I,https://www.youtube.com/watch?v=TDELR2fLn8I,WARNING! The TRUTH About Living Paycheck To Paycheck,Get My Budget Tracker For FREE!: https://offer.bucknermedia.com/optin ▻ Sign-up for a 1-on-1 Coaching Call (both YouTube and ...,2026-03-09,89089,paycheck to paycheck,LEVEL_2_STRUGGLING,
paycheck to paycheck,BY_YHUvHv_E,https://www.youtube.com/watch?v=BY_YHUvHv_E,The Reality of Living Paycheck to Paycheck In 2026 as Americans Become Poor,[Private Discord Server]: https://www.patreon.com/marketgains1 - 7 day free trial - 80% average win rate with our traders - Track ...,2026-04-08,2379,paycheck to paycheck,LEVEL_2_STRUGGLING,
paycheck to paycheck,G0xvoxprVuw,https://www.youtube.com/watch?v=G0xvoxprVuw,"Woman says most people are living paycheck to paycheck, and being evicted, homeless is expensive","Tiege Hanley: Get your first box 40% off (+ FREE gift), and 20% off for life, at https://tiege.com/antondaniels Join the Bag Chasers ...",2026-05-02,33752,"homeless, evicted, paycheck to paycheck",LEVEL_3_CRISIS,
paycheck to paycheck,pQjlJud3Tlw,https://www.youtube.com/watch?v=pQjlJud3Tlw,The Best Financial Advice You Will Ever Receive: 4 Money Rules That Will Change Your Life,"If you've ever felt stressed, confused, ashamed, or behind when it comes to money, this episode is for you. Whether you're living ...",2026-04-13,385077,,LEVEL_1_AWARE,
paycheck to paycheck,qb_4CV5ldgE,https://www.youtube.com/watch?v=qb_4CV5ldgE,This $25/Week Fidelity Strategy Could Replace Part of Your Paycheck,"Fidelity index funds can help turn $25 a week into retirement income over time with the power of compound interest, dividend ...",2026-03-11,422,,LEVEL_1_AWARE,
paycheck to paycheck,DyTzUPz3TTU,https://www.youtube.com/watch?v=DyTzUPz3TTU,The SAD Reality of Living Paycheck to Paycheck in The U.S!,Credit https://www.tiktok.com/@marcdoesfinance https://www.tiktok.com/@UCaRpeKVf5OZFLFhsetA7z_g ...,2026-03-14,4605,paycheck to paycheck,LEVEL_2_STRUGGLING,
living paycheck to paycheck,cFal2rT9eNs,https://www.youtube.com/watch?v=cFal2rT9eNs,Tired of Living Paycheck to Paycheck? Try These 5 Steps (Even Starting With $0),Are you tired of watching your paycheck disappear before rent is even paid? You're not alone. 7 out of 10 Americans are living ...,2026-02-14,30,paycheck to paycheck,LEVEL_2_STRUGGLING,
living paycheck to paycheck,f3MdK1MiZYg,https://www.youtube.com/watch?v=f3MdK1MiZYg,The Only Way to Stop Living Paycheck to Paycheck in 2026,The old money rules don't work in 2026. Still paying your bills the second payday hits? That one habit might be the exact reason ...,2026-03-07,35,paycheck to paycheck,LEVEL_2_STRUGGLING,
living paycheck to paycheck,1-dZh35ZX-Y,https://www.youtube.com/watch?v=1-dZh35ZX-Y,How To Stop Living Paycheck to Paycheck in 2026 (The &quot;Joe&quot; Method),"Stop living paycheck to paycheck un 2026 and finally take control of your finances. In this video, I break down why you're always ...",2026-02-15,170,paycheck to paycheck,LEVEL_2_STRUGGLING,
wages not keeping up inflation,sf44kDk5jVc,https://www.youtube.com/watch?v=sf44kDk5jVc,How Your Paycheck Feels Smaller,"Ben Casselman, our chief economics correspondent, explains why wages are not keeping up with inflation and what that means ...",2026-04-21,25165,,LEVEL_1_AWARE,
wages not keeping up inflation,MZyOMaqehGY,https://www.youtube.com/watch?v=MZyOMaqehGY,Wages are not Keeping Up with Inflation,wages #wagegrowth #inflation #purchasingpower.,2026-04-28,162,,LEVEL_1_AWARE,
wages not keeping up inflation,x_Jj-c4arRA,https://www.youtube.com/watch?v=x_Jj-c4arRA,People Tried to Keep Up With Rising Costs… Now They’re Just Giving Up,"Everything feels more expensive in America right now like groceries, rent, gas, insurance, and even basic everyday items.",2026-05-03,197,,LEVEL_1_AWARE,
wages not keeping up inflation,yXrAvPk8ON4,https://www.youtube.com/watch?v=yXrAvPk8ON4,Cost Of LIVING RISING While JOB WAGES CRASH (Terrifying Inflation!),Costs of living continue increasing while more and more individuals experience declining wages that make it difficult to meet basic ...,2026-05-03,18,,LEVEL_1_AWARE,
wages not keeping up inflation,p7dEbh4IvQI,https://www.youtube.com/watch?v=p7dEbh4IvQI,"&quot;Prices up , salary stuck&quot; ",why everything is getting expensive prices up salary not increasing inflation vs wages usa why americans feel broke cost of living ...,2026-02-06,2,,LEVEL_1_AWARE,
wages not keeping up inflation,feIgiCEkEKY,https://www.youtube.com/watch?v=feIgiCEkEKY,Get an increment of Over 10% | Business | Sarthak Ahuja,Why is the RBI saying that the inflation in India is double of what has been declared in the official numbers? The RBI did a survey ...,2026-05-03,5607,,LEVEL_1_AWARE,
wages not keeping up inflation,Wo8bEV7VRXA,https://www.youtube.com/watch?v=Wo8bEV7VRXA,What To Do When Wages Aren&#39;t Keeping Up With Inflation,"If your paycheck isn't going as far as it used to, you're not imagining things. The cost of living really has outrun wages for millions ...",2026-02-24,99,,LEVEL_1_AWARE,
wages not keeping up inflation,In-JODXn_Nw,https://www.youtube.com/watch?v=In-JODXn_Nw,Psychic Predictions: Trump Inflation Causes Americans to Rise Up,Psychic Predictions: The U.S. economy teaters causing near revolutionary protests. Lindsey Graham argues for war in Iran as a ...,2026-05-01,27295,,LEVEL_1_AWARE,
wages not keeping up inflation,xclmUF3nSOI,https://www.youtube.com/watch?v=xclmUF3nSOI,"Understanding the Economy - Inflation, Interest Rates &amp; Why Wages Aren’t Keeping Up | Episode 011","Welcome back to Common Cent$, where two Nigerian-American millennials break down money, culture, and building wealth ...",2026-04-28,50,,LEVEL_1_AWARE,
wages not keeping up inflation,5yYs_mkCw5k,https://www.youtube.com/watch?v=5yYs_mkCw5k,👉 Why Your Salary Isn’t Keeping Up,"Why does it feel like your paycheck isn't going as far as it used to? In this video, we break down why salaries aren't keeping up ...",2026-03-17,4,,LEVEL_1_AWARE,
can't make ends meet,stEOA8y10zc,https://www.youtube.com/watch?v=stEOA8y10zc,Many San Antonians can&#39;t make ends meet. Here are a few reasons why. | ENside Politics,San Antonio Food Bank CEO Eric Cooper talks with host Greg Jefferson about why San Antonio remains one of the poorest cities ...,2026-02-09,1638,,LEVEL_1_AWARE,
working poor,Kaq3DFlaPN0,https://www.youtube.com/watch?v=Kaq3DFlaPN0,The Working Poor Has Become The Forgotten Ones,,2026-02-20,1956,,LEVEL_1_AWARE,
working poor,mRjbJ7QJrBM,https://www.youtube.com/watch?v=mRjbJ7QJrBM,The Dirty Housing Secret Turning High Earners Into the Working Poor,"Are you making a good salary but still living paycheck to paycheck? You aren't alone. In this video, I reveal the dirty secret of the ...",2026-02-27,9,paycheck to paycheck,LEVEL_2_STRUGGLING,
working poor,F_Kye7_sqRs,https://www.youtube.com/watch?v=F_Kye7_sqRs,The Math Doesn&#39;t Add Up for Louisiana&#39;s Working Poor,"Take action now: JamieForLouisiana.com — Donate, volunteer, or sign up for updates. Let's build an economy where working ...",2026-04-13,10,,LEVEL_1_AWARE,
working poor,xKoZuE-kYPQ,https://www.youtube.com/watch?v=xKoZuE-kYPQ,Why You Will Stay Poor Even If You Work Hard (Brutal Truth),"This video will change the way you think about money, work, and success. Most people believe that working harder is the key to ...",2026-04-17,30,,LEVEL_1_AWARE,
working poor,M0zpF5vOhFA,https://www.youtube.com/watch?v=M0zpF5vOhFA,So the Supreme Court thinks they have the working poor voters in a choke hold!,,2026-04-30,157,,LEVEL_1_AWARE,
working poor,5P7OiDsB1Ac,https://www.youtube.com/watch?v=5P7OiDsB1Ac,What It Really Looks Like to Live on American Minimum Wage in 2026,What It Really Looks Like to Live on American Minimum Wage in 2026 The federal minimum wage in America is $7.25 an hour.,2026-04-01,35,,LEVEL_1_AWARE,
working poor,D074eluyw28,https://www.youtube.com/watch?v=D074eluyw28,The Hidden Struggle of the Working Poor in Louisiana with United Way of Southeast Louisiana,Michael Williamson is the President and CEO of United Way of Southeast Louisiana. We sit down with Michael to break down ...,2026-04-17,39,,LEVEL_1_AWARE,
working poor,DAOQMVB5U3g,https://www.youtube.com/watch?v=DAOQMVB5U3g,"Poverty is the New Normal | Benefits Cliffs, Debt, Food Banks! Let’s Talk About It!! 💵 ","In today's video, I am sharing my thoughts and experiences of our family going from benefits to entering a higher tax bracket and ...",2026-03-17,1135,,LEVEL_1_AWARE,
working poor,QUVFWymG7AM,https://www.youtube.com/watch?v=QUVFWymG7AM,Women Are Being BULLIED Into Poverty-Working Poor #mgtowmoments#mgtowchannel ,"In this video, I Talk About How People In This Era Are Being Bullied Into Poverty. In this video, I break down how women are being ...",2026-02-03,104,,LEVEL_1_AWARE,
working poor,FaaYGzN7L8Y,https://www.youtube.com/watch?v=FaaYGzN7L8Y,The Working Poor documentary response video,,2026-03-26,8,,LEVEL_1_AWARE,
poverty wages,t7YWWosZasg,https://www.youtube.com/watch?v=t7YWWosZasg,The world’s wealthiest university pays its workers poverty wages,"Thousands of graduate student workers at Harvard University are on strike. They do the bulk of teaching and research at Harvard, ...",2026-05-02,3023,,LEVEL_1_AWARE,
poverty wages,axGRTwrda2w,https://www.youtube.com/watch?v=axGRTwrda2w,These 20 Companies Are STILL Paying POVERTY WAGES in 2026,Need a Real Estate Agent? Get one for FREE: https://homeandmoney.com/michael/ ======= My Filming and Editing Equipment ...,2026-03-21,8370,,LEVEL_1_AWARE,
