search_term,video_id,url,title,description_snippet,published_date,view_count,crisis_keywords,category,notes
can't afford rent on salary,LDWscsWO-N8,https://www.youtube.com/watch?v=LDWscsWO-N8,50% of Americans Can No Longer Afford Rent. It’s Over.,"50% of American families can no longer afford the roof over their heads. You aren't a citizen anymore—you're just a ""nutrient"" on a ...",2025-12-27,79692,,LEVEL_1_AWARE,
can't afford rent on salary,Ju3hheTpoBs,https://www.youtube.com/watch?v=Ju3hheTpoBs,“We Can’t Afford Rent” The Real Impact of Section 8 Funding Cuts,"Section 8 is supposed to protect families from losing their homes — but now, funding cuts are putting thousands at risk of eviction.",2025-11-06,9658,,LEVEL_1_AWARE,
can't afford rent on salary,bqdPtjxzQaE,https://www.youtube.com/watch?v=bqdPtjxzQaE,Why Nobody Can Afford a Home Anymore,"Ever wondered why buying a home today feels impossible, even if you earn a decent salary? Why your parents bought houses ...",2025-10-26,408695,,LEVEL_1_AWARE,
can't afford rent on salary,rRJuexovapQ,https://www.youtube.com/watch?v=rRJuexovapQ,Why Million of Londoners Can&#39;t Afford Rent by 2027,Something terrifying is happening to London's rental market — and almost nobody is talking about it. Landlords are leaving ...,2025-10-27,1014,,LEVEL_1_AWARE,
can't afford rent on salary,5j7f9r7Zvng,https://www.youtube.com/watch?v=5j7f9r7Zvng,If You Work Full-Time and Still Can’t Pay Rent — What’s the Point?,Millions of people work full-time but can't afford a home. Rent keeps rising while salaries stay frozen. Is this failure of effort — or ...,2025-10-20,13096,can't afford,LEVEL_1_AWARE,
can't afford rent on salary,SDNh8n8se-k,https://www.youtube.com/watch?v=SDNh8n8se-k,America&#39;s Rental Crisis Is Out of Control — Millions Can’t Afford a Place to Live,"America's rental crisis is exploding in 2025, and the signs are becoming impossible to ignore. Rent prices are rising faster than ...",2025-12-09,66156,,LEVEL_1_AWARE,
can't afford rent on salary,4UejW6VOb3I,https://www.youtube.com/watch?v=4UejW6VOb3I,RENT PRICES ARE SKYROCKETING IN 2025-People Can’t Afford TO Live Anymore,"RENT IS OUT OF CONTROL!” Rent prices are skyrocketing in 2025, and millions of people can no longer afford a place to live.",2025-10-20,998,,LEVEL_1_AWARE,
can't afford rent on salary,FSrO9IG6ug4,https://www.youtube.com/watch?v=FSrO9IG6ug4,Major Vegas Casino CAN&#39;T PAY RENT?!,"Learn To Trade — 90% OFF Base hits, small wins, no ""getting rich quick..."" http://1kaday.diy — Use coupon code 18 for 90% off ...",2025-11-06,56897,,LEVEL_1_AWARE,
can't afford rent on salary,EvITMExSwxw,https://www.youtube.com/watch?v=EvITMExSwxw,Why can I afford rent but can’t get a mortgage? (it’s not just the down payment) | Knowledge Gap,Wondering why you're allowed to pay thousands in rent but can't get a similar mortgage? It's not just the down payment. If you're ...,2025-10-27,13037,,LEVEL_1_AWARE,
can't afford rent on salary,RGUv4quCYyc,https://www.youtube.com/watch?v=RGUv4quCYyc,You Can’t Afford Rent in 2025… and It’s Not Your Fault,"Rent affordability has hit crisis levels in 2025, with a record 22.6 million American renter households now cost-burdened ...",2025-11-25,690,,LEVEL_1_AWARE,
