search_term,video_id,url,title,category,view_count,comment_count
airline lost luggage,YP8ffpAhacM,https://www.youtube.com/watch?v=YP8ffpAhacM,"Passenger Wins $2,500 from Airline for Delay and Lost Luggage",LEVEL_2_FRUSTRATED,8181,1
airline lost luggage,g8ZBr-bfuNc,https://www.youtube.com/watch?v=g8ZBr-bfuNc,Where Do I Find Airline Lost Baggage Numbers?,LEVEL_1_AWARE,0,0
airline lost luggage,HIJ9TXVW1aM,https://www.youtube.com/watch?v=HIJ9TXVW1aM,Where Is My Airline&#39;s Lost Bag Counter?,LEVEL_1_AWARE,0,0
airline lost luggage,IYKa9XvuFu0,https://www.youtube.com/watch?v=IYKa9XvuFu0,What Is The Airline Policy For Lost Luggage?,LEVEL_1_AWARE,1,0
airline lost luggage,DE-93bLhFzM,https://www.youtube.com/watch?v=DE-93bLhFzM,"Delayed or lost luggage? Know your rights, claims &amp; insurance options",LEVEL_2_FRUSTRATED,16231,0
airline lost luggage,24eJz3lXCck,https://www.youtube.com/watch?v=24eJz3lXCck,7 Baggage Claims To AVOID — Lost Luggage Every Week,LEVEL_1_AWARE,8,0
airline lost luggage,mmU06W8j3fc,https://www.youtube.com/watch?v=mmU06W8j3fc,What Evidence Shows Lost Luggage Item Value?,LEVEL_1_AWARE,45,0
airline lost luggage,_8gt8vqOv8g,https://www.youtube.com/watch?v=_8gt8vqOv8g,What Happens to Lost Luggage at Airports? #brainfacts  #facts  #airplane,LEVEL_1_AWARE,2316,0
airline lost luggage,_Abysjv03Ts,https://www.youtube.com/watch?v=_Abysjv03Ts,How To Interpret Airline Lost Luggage Statuses?,LEVEL_1_AWARE,1,0
airline lost luggage,2Jd0gxf6At8,https://www.youtube.com/watch?v=2Jd0gxf6At8,What Happens When I Report Lost Luggage To Airline?,LEVEL_1_AWARE,1,0
airline lost luggage,RRN7m3G-M8I,https://www.youtube.com/watch?v=RRN7m3G-M8I,This is how you loose your luggage 🧐😢😱 #fyp #shorts #shorts #foryou #plane #luggage #travel,LEVEL_1_AWARE,1990,0
