title,url,points,num_comments,category,created_at,search_term,metric
The housing crisis is pushing Gen Z into crypto and economic nihilism,https://www.ft.com/content/c17ac791-548f-4dfc-b456-70d054b2ffac,15,4,LEVEL_3_CRISIS,2025-11-28T15:45:01Z,housing crisis,housing_despair
Why Building Alone Won't Solve the Housing Crisis,https://www.nytimes.com/2026/02/05/realestate/affordable-housing-insurance-studies.html,6,2,LEVEL_3_CRISIS,2026-02-05T20:22:33Z,housing crisis,housing_despair
The double standards driving our housing crisis,https://www.vox.com/future-perfect/476647/housing-crisis-affordability-building-codes-yimby,6,1,LEVEL_3_CRISIS,2026-02-04T20:36:32Z,housing crisis,housing_despair
Housing crisis is forcing Americans to choose between affordability and safety,https://theconversation.com/the-housing-crisis-is-forcing-americans-to-choose-between-affordability-and-safety-266136,3,0,LEVEL_3_CRISIS,2025-12-22T14:50:10Z,housing crisis,housing_despair
Deregulation is not the answer to the affordable housing crisis,https://48hills.org/2026/01/new-study-shows-that-deregulation-is-not-the-answer-to-the-affordable-housing-crisis/,2,1,LEVEL_3_CRISIS,2026-01-23T17:36:46Z,housing crisis,housing_despair
What the Twin Cities Tell Us About Fixing the Housing Crisis,https://www.wsj.com/real-estate/minnesota-rent-control-regulation-prices-34221bd4,2,1,LEVEL_3_CRISIS,2025-12-15T18:28:23Z,housing crisis,housing_despair
The Housing Crisis as a Land Crisis,https://progressandpoverty.substack.com/p/the-housing-crisis-as-a-land-crisis,1,1,LEVEL_3_CRISIS,2026-02-10T17:31:17Z,housing crisis,housing_despair
Losing Money Every Month: Growing Finance Crisis Threatens Affordable Housing,https://www.thecity.nyc/2025/11/19/affordable-housing-landlords-buildings-financial-crisis-bronx/,4,0,LEVEL_3_CRISIS,2025-11-22T17:20:29Z,housing crisis,housing_despair
Show HN: Modeling the US Debt as a Healthcare Pricing Failure ($26T Gap),https://taprootlogic.substack.com/p/the-us-debt-crisis-a-52-trillion,4,2,LEVEL_1_AWARE,2025-12-17T18:53:58Z,housing crisis,housing_despair
A Crisis comes to Wordle: Reusing old words,https://forkingmad.blog/wordle-crisis/,133,139,LEVEL_3_CRISIS,2026-02-01T17:54:55Z,housing crisis,housing_despair
AI Automation,https://news.ycombinator.com/item?id=46444061,1,0,LEVEL_1_AWARE,2025-12-31T13:57:07Z,can't afford home,housing_despair
Show HN: GrahamBell – This is what Bitcoin mining looked like in 2009,https://news.ycombinator.com/item?id=46885212,3,0,LEVEL_1_AWARE,2026-02-04T12:48:11Z,can't afford home,housing_despair
Show HN: 3D and World Models for Consistent AI Filmmaking,https://getartcraft.com/news/world-models-for-film,5,0,LEVEL_1_AWARE,2026-02-12T02:40:51Z,can't afford home,housing_despair
Oracle's Rent Is Too Darn High,https://www.bloomberg.com/opinion/newsletters/2025-12-16/oracle-s-248-billion-rent-is-too-darn-high,2,0,LEVEL_1_AWARE,2025-12-17T05:52:50Z,rent too high,housing_despair
Tell HN: I cut Claude API costs from $70/month to pennies,https://news.ycombinator.com/item?id=46760285,40,30,LEVEL_1_AWARE,2026-01-26T00:34:17Z,rent too high,housing_despair
Ask HN: Cursor (LLM) Costs,https://news.ycombinator.com/item?id=46581528,1,2,LEVEL_1_AWARE,2026-01-11T23:16:05Z,rent too high,housing_despair
Show HN: I built a forensic accounting tool for high-conflict litigation,https://exitprotocols.com/,2,1,LEVEL_1_AWARE,2026-01-05T16:42:10Z,rent too high,housing_despair
Show HN: My Best Sport – Match your body dimensions to sports with AI,https://news.ycombinator.com/item?id=46435808,3,0,LEVEL_1_AWARE,2025-12-30T17:40:09Z,rent too high,housing_despair
Show HN: Coding Agent Session Search (Cass),https://github.com/Dicklesworthstone/coding_agent_session_search,3,1,LEVEL_1_AWARE,2025-12-03T05:00:56Z,rent too high,housing_despair
Looking for Founding Engineers – Esbern,https://news.ycombinator.com/item?id=47043293,1,2,LEVEL_1_AWARE,2026-02-17T03:15:47Z,rent too high,housing_despair
"Show HN: Assign tasks to 7 AI agents with -mentions, autonomous mode, OpenClaw",https://news.ycombinator.com/item?id=47064122,1,1,LEVEL_1_AWARE,2026-02-18T18:10:51Z,rent too high,housing_despair
Show HN: Agent framework that generates its own topology and evolves at runtime,https://github.com/adenhq/hive/blob/main/README.md,107,36,LEVEL_1_AWARE,2026-02-11T19:39:43Z,rent too high,housing_despair
"Tell HN: We analyzed our dev time.80% is still infrastructure'setup',notfeatures",https://news.ycombinator.com/item?id=47060234,12,4,LEVEL_1_AWARE,2026-02-18T12:20:13Z,rent too high,housing_despair
Show HN: Bubble sort on a Turing machine,https://github.com/purplejacket/bubble_sort_on_tm,12,2,LEVEL_1_AWARE,2026-02-13T21:43:04Z,rent too high,housing_despair
Show HN: LLM Gateway for OpenAI/Anthropic Written in Golang,https://github.com/ongoingai/gateway,3,1,LEVEL_1_AWARE,2026-02-18T22:04:28Z,rent too high,housing_despair
"Show HN: Vett – Scan, sign, and verify AI agent skills before installing",https://vett.sh,3,0,LEVEL_1_AWARE,2026-02-18T17:21:59Z,rent too high,housing_despair
Show HN: SnapAPI – Screenshot/PDF/Extract API Built with Fastify and Playwright,https://snapapi.pics/,2,0,LEVEL_1_AWARE,2026-02-19T13:56:12Z,rent too high,housing_despair
One Year of Building After Work: Lessons from Shipping 4 Apps,https://news.ycombinator.com/item?id=47062617,1,0,LEVEL_1_AWARE,2026-02-18T16:15:59Z,rent too high,housing_despair
Show HN: I spent 4 years building a UI design tool with only the features I use,https://vecti.com,386,183,LEVEL_1_AWARE,2026-02-06T19:27:37Z,rent too high,housing_despair
Show HN: I built an AI-powered late-night call-in radio show from my RV,https://lukeattheroost.com,1,2,LEVEL_1_AWARE,2026-02-10T05:22:54Z,rent too high,housing_despair
Show HN: IPAware – Unlimited IP Intelligence API with Flat Pricing,https://news.ycombinator.com/item?id=47074875,7,1,LEVEL_1_AWARE,2026-02-19T15:31:06Z,rent too high,housing_despair
The End of Nue Framework,https://news.ycombinator.com/item?id=47072945,2,0,LEVEL_1_AWARE,2026-02-19T12:09:28Z,rent too high,housing_despair
Mind Reading Technology is Here,https://news.ycombinator.com/item?id=47064316,1,2,LEVEL_1_AWARE,2026-02-18T18:23:31Z,rent too high,housing_despair
"Show HN: Clipthesis – free, local app to tag and search video across your drives",https://clipthesis.com/,1,0,LEVEL_1_AWARE,2026-02-19T11:14:47Z,rent too high,housing_despair
Show HN: RepoCrunch – Analyze any GitHub repo's health in seconds,https://news.ycombinator.com/item?id=47063123,1,0,LEVEL_1_AWARE,2026-02-18T16:54:37Z,rent too high,housing_despair
Show HN: Porchsongs: AI to create and catalogue personalized songs,https://github.com/njbrake/porchsongs,1,0,LEVEL_1_AWARE,2026-02-18T18:35:33Z,rent too high,housing_despair
"Ask HN: Startup launch destroyed by Bolt.new's AI. 10M tokens gone, no response",https://news.ycombinator.com/item?id=46321594,6,9,LEVEL_1_AWARE,2025-12-19T02:17:01Z,rent too high,housing_despair
Show HN: Babylog – baby tracker built with OpenClaw from a hospital room,https://news.ycombinator.com/item?id=47041425,1,1,LEVEL_1_AWARE,2026-02-16T22:50:26Z,rent too high,housing_despair
Show HN: Designing package namespacing for a new language (Coi),https://news.ycombinator.com/item?id=47067550,1,0,LEVEL_1_AWARE,2026-02-18T22:54:17Z,rent too high,housing_despair
Project Paperclip. The time has come,https://news.ycombinator.com/item?id=47066648,2,2,LEVEL_1_AWARE,2026-02-18T21:25:19Z,rent too high,housing_despair
What determines whether a post gets visibility on Hacker News,https://news.ycombinator.com/item?id=47061947,2,6,LEVEL_1_AWARE,2026-02-18T15:20:20Z,rent too high,housing_despair
Show HN: I analyzed 120 films to help screenwriters test narrative structure,https://arc.quanten.co,2,0,LEVEL_1_AWARE,2026-02-18T07:42:13Z,rent too high,housing_despair
WhatsApp Invoice Bot,https://news.ycombinator.com/item?id=47062698,1,0,LEVEL_1_AWARE,2026-02-18T16:23:40Z,rent too high,housing_despair
Show HN: Glitchy camera – a circuit-bent camera simulator in the browser,https://glitchycam.com,169,22,LEVEL_1_AWARE,2026-02-16T11:57:01Z,rent too high,housing_despair
"Show HN: Text-to-video model from scratch (2 brothers, 2 years, 2B params)",https://huggingface.co/collections/Linum-AI/linum-v2-2b-text-to-video,158,24,LEVEL_1_AWARE,2026-01-22T16:31:47Z,rent too high,housing_despair
Show HN: SageOx – The Hivemind for Agentic Engineering,https://sageox.ai/blog/introducing-sageox,3,3,LEVEL_1_AWARE,2026-02-19T16:59:00Z,rent too high,housing_despair
Ask HN: Views on Mastra's SOTA Memory?,https://news.ycombinator.com/item?id=46992444,1,1,LEVEL_1_AWARE,2026-02-12T17:59:17Z,rent too high,housing_despair
"Kimchi, made in China: how South Korea's national dish is being priced out",https://www.theguardian.com/world/2025/dec/22/kimchi-south-korea-national-dish-priced-out-china-export,4,1,LEVEL_1_AWARE,2025-12-22T20:22:28Z,priced out,housing_despair
Stumbled into PR and couldn't believe how broken it was. So I built something,https://news.ycombinator.com/item?id=46447917,1,1,LEVEL_1_AWARE,2025-12-31T20:24:26Z,priced out,housing_despair
Show HN: I built a Python wrapper to query Uniswap v3 directly,https://github.com/qoery-com/qoery-py,1,0,LEVEL_1_AWARE,2026-01-01T12:05:26Z,priced out,housing_despair
